Technique,Name,Tactic,Description

T1110.003,Password Spraying,Credential Access,Attempts a small number of common passwords against many accounts

T1110.001,Password Guessing,Credential Access,Attempts many passwords against a single account

T1078,Valid Accounts,Defense Evasion,Uses legitimate credentials for persistence and access

T1190,Exploit Public Facing Application,Initial Access,Exploits vulnerabilities in public facing applications

T1059,Command and Scripting Interpreter,Execution,Uses command shells or scripts to execute malicious code

T1021,Remote Services,Lateral Movement,Uses remote services such as RDP SSH or SMB for movement

T1046,Network Service Discovery,Discovery,Scans network services and open ports

T1087,Account Discovery,Discovery,Discovers user and service accounts

T1003,OS Credential Dumping,Credential Access,Extracts passwords and credential material

T1566,Phishing,Initial Access,Uses phishing emails or messages to gain access

T1555,Credentials from Password Stores,Credential Access,Steals credentials from browsers or password stores

T1486,Data Encrypted for Impact,Impact,Ransomware encrypts files and systems

T1070,Indicator Removal on Host,Defense Evasion,Deletes logs or evidence

T1055,Process Injection,Defense Evasion,Injects code into legitimate processes

T1548,Abuse Elevation Control Mechanism,Privilege Escalation,Bypasses security controls to elevate privileges
